,gene1,gene2,gene1 perturbation,gene2 perturbation,PMID,cancer_type,SL
66,MUS81,CIDEC,mut,shRNA,24104479,COAD,0
67,MUS81,EPX,mut,shRNA,24104479,COAD,0
68,MUS81,TRIM15,mut,shRNA,24104479,COAD,1
69,MUS81,PTRH1,mut,shRNA,24104479,COAD,0
70,MUS81,PALMD,mut,shRNA,24104479,COAD,0
71,MUS81,WASH2P,mut,shRNA,24104479,COAD,1
72,MUS81,GIT2,mut,shRNA,24104479,COAD,1
73,MUS81,HLX,mut,shRNA,24104479,COAD,0
74,MUS81,NUDT4,mut,shRNA,24104479,COAD,1
75,MUS81,PLEK2,mut,shRNA,24104479,COAD,1
76,MUS81,TSPAN33,mut,shRNA,24104479,COAD,0
77,MUS81,UBE2Q1,mut,shRNA,24104479,COAD,0
78,MUS81,STIL,mut,shRNA,24104479,COAD,1
79,MUS81,CD3EAP,mut,shRNA,24104479,COAD,0
80,MUS81,GCLC,mut,shRNA,24104479,COAD,0
81,MUS81,TBRG4,mut,shRNA,24104479,COAD,0
82,MUS81,MTCP1,mut,shRNA,24104479,COAD,0
83,MUS81,DCAKD,mut,shRNA,24104479,COAD,0
84,MUS81,PTPLAD1,mut,shRNA,24104479,COAD,1
85,MUS81,CDC37L1,mut,shRNA,24104479,COAD,0
86,MUS81,POLR3K,mut,shRNA,24104479,COAD,1
87,MUS81,B2M,mut,shRNA,24104479,COAD,0
88,MUS81,SNX22,mut,shRNA,24104479,COAD,0
89,MUS81,MAP6,mut,shRNA,24104479,COAD,0
90,MUS81,GPR52,mut,shRNA,24104479,COAD,0
91,MUS81,METTL2A,mut,shRNA,24104479,COAD,1
92,MUS81,FXYD1,mut,shRNA,24104479,COAD,1
93,MUS81,ICK,mut,shRNA,24104479,COAD,0
94,MUS81,STEAP3,mut,shRNA,24104479,COAD,0
95,MUS81,CCNI,mut,shRNA,24104479,COAD,0
96,MUS81,BHLHE22,mut,shRNA,24104479,COAD,0
97,MUS81,IGLL1,mut,shRNA,24104479,COAD,0
98,MUS81,DCLRE1A,mut,shRNA,24104479,COAD,0
99,MUS81,F2RL2,mut,shRNA,24104479,COAD,0
100,MUS81,CENPC1,mut,shRNA,24104479,COAD,0
101,MUS81,APOOL,mut,shRNA,24104479,COAD,0
102,MUS81,FAM71D,mut,shRNA,24104479,COAD,0
103,MUS81,FBXO39,mut,shRNA,24104479,COAD,0
104,MUS81,PDK2,mut,shRNA,24104479,COAD,0
105,MUS81,KLF6,mut,shRNA,24104479,COAD,1
106,MUS81,AXL,mut,shRNA,24104479,COAD,0
107,MUS81,TBR1,mut,shRNA,24104479,COAD,0
108,MUS81,SERPINA12,mut,shRNA,24104479,COAD,0
109,MUS81,BRAF,mut,shRNA,24104479,COAD,1
110,MUS81,TMC8,mut,shRNA,24104479,COAD,1
111,MUS81,SH2D1A,mut,shRNA,24104479,COAD,0
112,MUS81,SPAG11B,mut,shRNA,24104479,COAD,0
113,MUS81,UBASH3B,mut,shRNA,24104479,COAD,0
114,MUS81,PVALB,mut,shRNA,24104479,COAD,0
115,MUS81,CDK2,mut,shRNA,24104479,COAD,0
116,MUS81,WISP1,mut,shRNA,24104479,COAD,0
117,MUS81,FZD4,mut,shRNA,24104479,COAD,0
118,MUS81,TAS2R3,mut,shRNA,24104479,COAD,0
119,MUS81,ZNF358,mut,shRNA,24104479,COAD,1
120,MUS81,UBE2E3,mut,shRNA,24104479,COAD,0
121,MUS81,FERMT1,mut,shRNA,24104479,COAD,1
122,MUS81,RG9MTD1,mut,shRNA,24104479,COAD,0
123,MUS81,SERPINB8,mut,shRNA,24104479,COAD,0
124,MUS81,DDB1,mut,shRNA,24104479,COAD,1
125,MUS81,CRP,mut,shRNA,24104479,COAD,0
126,MUS81,EVX1,mut,shRNA,24104479,COAD,0
127,MUS81,MMP1,mut,shRNA,24104479,COAD,0
128,MUS81,SLC25A18,mut,shRNA,24104479,COAD,0
129,MUS81,SLTM,mut,shRNA,24104479,COAD,0
130,MUS81,VWCE,mut,shRNA,24104479,COAD,1
131,MUS81,STX4,mut,shRNA,24104479,COAD,1
132,MUS81,LRRC8A,mut,shRNA,24104479,COAD,0
133,MUS81,LUZP2,mut,shRNA,24104479,COAD,0
134,MUS81,C6orf58,mut,shRNA,24104479,COAD,1
135,MUS81,SFRP4,mut,shRNA,24104479,COAD,0
136,MUS81,CDNF,mut,shRNA,24104479,COAD,1
137,MUS81,NUP188,mut,shRNA,24104479,COAD,0
138,MUS81,C17orf63,mut,shRNA,24104479,COAD,0
139,MUS81,RIMS2,mut,shRNA,24104479,COAD,0
140,MUS81,PPM1A,mut,shRNA,24104479,COAD,0
141,MUS81,WDR36,mut,shRNA,24104479,COAD,1
142,MUS81,COL25A1,mut,shRNA,24104479,COAD,0
143,MUS81,MGAT1,mut,shRNA,24104479,COAD,0
144,MUS81,MRO,mut,shRNA,24104479,COAD,0
145,MUS81,ZIM3,mut,shRNA,24104479,COAD,0
146,MUS81,OR3A1,mut,shRNA,24104479,COAD,0
147,MUS81,TOM1L1,mut,shRNA,24104479,COAD,1
148,MUS81,AGK,mut,shRNA,24104479,COAD,1
149,MUS81,MAL2,mut,shRNA,24104479,COAD,0
150,MUS81,DSPP,mut,shRNA,24104479,COAD,0
151,MUS81,HAND2,mut,shRNA,24104479,COAD,0
152,MUS81,ATL3,mut,shRNA,24104479,COAD,1
153,MUS81,PPM1D,mut,shRNA,24104479,COAD,0
154,MUS81,SLC12A1,mut,shRNA,24104479,COAD,0
155,MUS81,PAPD4,mut,shRNA,24104479,COAD,0
156,MUS81,SERPINB6,mut,shRNA,24104479,COAD,0
157,MUS81,CYP7A1,mut,shRNA,24104479,COAD,0
158,MUS81,NAPG,mut,shRNA,24104479,COAD,0
159,MUS81,C10orf76,mut,shRNA,24104479,COAD,0
160,MUS81,TMEM50A,mut,shRNA,24104479,COAD,0
161,MUS81,SNW1,mut,shRNA,24104479,COAD,1
162,MUS81,OR10A5,mut,shRNA,24104479,COAD,0
163,MUS81,SS18,mut,shRNA,24104479,COAD,1
164,MUS81,MYOM2,mut,shRNA,24104479,COAD,0
165,MUS81,LIN54,mut,shRNA,24104479,COAD,0
166,MUS81,C17orf57,mut,shRNA,24104479,COAD,1
167,MUS81,SFRS6,mut,shRNA,24104479,COAD,0
168,MUS81,OPN4,mut,shRNA,24104479,COAD,0
169,MUS81,CSNK2B,mut,shRNA,24104479,COAD,0
170,MUS81,CLDN10,mut,shRNA,24104479,COAD,0
171,MUS81,FAM9C,mut,shRNA,24104479,COAD,0
172,MUS81,PQLC1,mut,shRNA,24104479,COAD,0
173,MUS81,NFE2,mut,shRNA,24104479,COAD,0
174,MUS81,ENPP5,mut,shRNA,24104479,COAD,0
175,MUS81,PPL,mut,shRNA,24104479,COAD,1
176,MUS81,EIF2AK2,mut,shRNA,24104479,COAD,0
177,MUS81,MMP16,mut,shRNA,24104479,COAD,0
178,MUS81,AR,mut,shRNA,24104479,COAD,0
179,MUS81,ARNTL2,mut,shRNA,24104479,COAD,1
180,MUS81,C9orf93,mut,shRNA,24104479,COAD,0
181,MUS81,SLC6A7,mut,shRNA,24104479,COAD,0
182,MUS81,PKHD1L1,mut,shRNA,24104479,COAD,0
183,MUS81,TBC1D16,mut,shRNA,24104479,COAD,1
184,MUS81,JAK1,mut,shRNA,24104479,COAD,0
185,MUS81,ASAP1,mut,shRNA,24104479,COAD,0
186,MUS81,DCAF17,mut,shRNA,24104479,COAD,1
187,MUS81,COL4A1,mut,shRNA,24104479,COAD,0
188,MUS81,SMOC1,mut,shRNA,24104479,COAD,0
189,MUS81,XBP1,mut,shRNA,24104479,COAD,0
190,MUS81,ENAH,mut,shRNA,24104479,COAD,0
191,MUS81,CREG1,mut,shRNA,24104479,COAD,0
192,MUS81,ZMIZ1,mut,shRNA,24104479,COAD,0
193,MUS81,DPP9,mut,shRNA,24104479,COAD,0
194,MUS81,SNX27,mut,shRNA,24104479,COAD,0
195,MUS81,CYP2U1,mut,shRNA,24104479,COAD,0
196,MUS81,SNX8,mut,shRNA,24104479,COAD,1
197,MUS81,UGT2A1,mut,shRNA,24104479,COAD,0
198,MUS81,PPP1R12B,mut,shRNA,24104479,COAD,0
199,MUS81,EIF2C4,mut,shRNA,24104479,COAD,0
200,MUS81,MOBKL1A,mut,shRNA,24104479,COAD,0
201,MUS81,TAF11,mut,shRNA,24104479,COAD,0
202,MUS81,IFT57,mut,shRNA,24104479,COAD,0
203,MUS81,BMP2K,mut,shRNA,24104479,COAD,0
204,MUS81,CHST9,mut,shRNA,24104479,COAD,0
205,MUS81,CEBPE,mut,shRNA,24104479,COAD,1
206,MUS81,EZR,mut,shRNA,24104479,COAD,0
207,MUS81,PEX3,mut,shRNA,24104479,COAD,0
208,MUS81,UGT8,mut,shRNA,24104479,COAD,0
209,MUS81,HMHA1,mut,shRNA,24104479,COAD,0
210,MUS81,CNOT6L,mut,shRNA,24104479,COAD,0
211,MUS81,CEBPG,mut,shRNA,24104479,COAD,1
212,MUS81,ADAM11,mut,shRNA,24104479,COAD,0
213,MUS81,TRIM40,mut,shRNA,24104479,COAD,0
214,MUS81,ANKRA2,mut,shRNA,24104479,COAD,0
215,MUS81,S1PR5,mut,shRNA,24104479,COAD,0
216,MUS81,PCK1,mut,shRNA,24104479,COAD,0
217,MUS81,CYP4B1,mut,shRNA,24104479,COAD,0
218,MUS81,NINJ1,mut,shRNA,24104479,COAD,0
219,MUS81,PLSCR3,mut,shRNA,24104479,COAD,0
220,MUS81,CPSF6,mut,shRNA,24104479,COAD,0
221,MUS81,MYO1B,mut,shRNA,24104479,COAD,0
222,MUS81,KCNIP3,mut,shRNA,24104479,COAD,0
223,MUS81,CD248,mut,shRNA,24104479,COAD,0
224,MUS81,NR1I2,mut,shRNA,24104479,COAD,0
225,MUS81,OR52B6,mut,shRNA,24104479,COAD,0
226,MUS81,PCNXL2,mut,shRNA,24104479,COAD,1
227,MUS81,PRKRA,mut,shRNA,24104479,COAD,0
228,MUS81,ALDH1A3,mut,shRNA,24104479,COAD,1
229,MUS81,POFUT1,mut,shRNA,24104479,COAD,0
230,MUS81,SSH2,mut,shRNA,24104479,COAD,0
231,MUS81,TAF4B,mut,shRNA,24104479,COAD,0
232,MUS81,MDC1,mut,shRNA,24104479,COAD,0
233,MUS81,DHFR,mut,shRNA,24104479,COAD,0
234,MUS81,TNFSF15,mut,shRNA,24104479,COAD,0
235,MUS81,CRYAB,mut,shRNA,24104479,COAD,0
236,MUS81,MIPOL1,mut,shRNA,24104479,COAD,0
237,MUS81,NPR2,mut,shRNA,24104479,COAD,1
238,MUS81,ZBTB48,mut,shRNA,24104479,COAD,1
239,MUS81,SPRYD5,mut,shRNA,24104479,COAD,0
240,MUS81,POLM,mut,shRNA,24104479,COAD,1
241,MUS81,ITGAV,mut,shRNA,24104479,COAD,0
242,MUS81,IRS1,mut,shRNA,24104479,COAD,0
243,MUS81,NDUFS1,mut,shRNA,24104479,COAD,0
244,MUS81,TIMM17A,mut,shRNA,24104479,COAD,0
245,MUS81,RAPH1,mut,shRNA,24104479,COAD,0
246,MUS81,SLC17A6,mut,shRNA,24104479,COAD,0
247,MUS81,SMNDC1,mut,shRNA,24104479,COAD,0
248,MUS81,C19orf2,mut,shRNA,24104479,COAD,1
249,MUS81,SLC16A8,mut,shRNA,24104479,COAD,0
250,MUS81,PRSS48,mut,shRNA,24104479,COAD,0
251,MUS81,RHOQ,mut,shRNA,24104479,COAD,0
252,MUS81,C8orf46,mut,shRNA,24104479,COAD,0
253,MUS81,EIF2A,mut,shRNA,24104479,COAD,0
254,MUS81,GABRG3,mut,shRNA,24104479,COAD,0
255,MUS81,TRIM24,mut,shRNA,24104479,COAD,1
256,MUS81,DBNL,mut,shRNA,24104479,COAD,0
257,MUS81,BMPER,mut,shRNA,24104479,COAD,0
258,MUS81,P2RX4,mut,shRNA,24104479,COAD,0
259,MUS81,PIWIL4,mut,shRNA,24104479,COAD,0
260,MUS81,UBR4,mut,shRNA,24104479,COAD,1
261,MUS81,KISS1R,mut,shRNA,24104479,COAD,0
262,MUS81,LTK,mut,shRNA,24104479,COAD,1
263,MUS81,PCDHGC5,mut,shRNA,24104479,COAD,0
264,MUS81,NFIL3,mut,shRNA,24104479,COAD,0
265,MUS81,MRGPRX1,mut,shRNA,24104479,COAD,0
266,MUS81,TAS1R2,mut,shRNA,24104479,COAD,0
267,MUS81,WDR91,mut,shRNA,24104479,COAD,1
268,MUS81,XIRP2,mut,shRNA,24104479,COAD,0
269,MUS81,PTCHD3,mut,shRNA,24104479,COAD,0
270,MUS81,FKBP3,mut,shRNA,24104479,COAD,0
271,MUS81,TBC1D25,mut,shRNA,24104479,COAD,1
272,MUS81,GDF7,mut,shRNA,24104479,COAD,1
273,MUS81,HOXA13,mut,shRNA,24104479,COAD,1
274,MUS81,CD226,mut,shRNA,24104479,COAD,0
275,MUS81,SLC12A2,mut,shRNA,24104479,COAD,0
276,MUS81,C2orf48,mut,shRNA,24104479,COAD,0
277,MUS81,AGRN,mut,shRNA,24104479,COAD,0
278,MUS81,CCBL2,mut,shRNA,24104479,COAD,0
279,MUS81,MEP1A,mut,shRNA,24104479,COAD,0
280,MUS81,RRM1,mut,shRNA,24104479,COAD,0
281,MUS81,ABAT,mut,shRNA,24104479,COAD,0
282,MUS81,SLC16A7,mut,shRNA,24104479,COAD,0
283,MUS81,THG1L,mut,shRNA,24104479,COAD,0
284,MUS81,AIF1L,mut,shRNA,24104479,COAD,1
285,MUS81,DLG3,mut,shRNA,24104479,COAD,0
286,MUS81,PRKCB,mut,shRNA,24104479,COAD,0
287,MUS81,AP3S2,mut,shRNA,24104479,COAD,1
288,MUS81,OR1D2,mut,shRNA,24104479,COAD,0
289,MUS81,VEZF1,mut,shRNA,24104479,COAD,0
290,MUS81,C2,mut,shRNA,24104479,COAD,0
291,MUS81,RCOR2,mut,shRNA,24104479,COAD,0
292,MUS81,SLC35F3,mut,shRNA,24104479,COAD,0
293,MUS81,FRMD4A,mut,shRNA,24104479,COAD,0
294,MUS81,TBKBP1,mut,shRNA,24104479,COAD,0
295,MUS81,CDK5RAP2,mut,shRNA,24104479,COAD,1
296,MUS81,WNK3,mut,shRNA,24104479,COAD,0
297,MUS81,ZNF207,mut,shRNA,24104479,COAD,0
298,MUS81,AKNA,mut,shRNA,24104479,COAD,1
299,MUS81,SSR3,mut,shRNA,24104479,COAD,0
300,MUS81,USP7,mut,shRNA,24104479,COAD,0
301,MUS81,FSHR,mut,shRNA,24104479,COAD,0
302,MUS81,ARPP19,mut,shRNA,24104479,COAD,0
303,MUS81,ANAPC10,mut,shRNA,24104479,COAD,0
304,MUS81,ADRB3,mut,shRNA,24104479,COAD,0
305,MUS81,KCNN3,mut,shRNA,24104479,COAD,0
306,MUS81,RUFY3,mut,shRNA,24104479,COAD,0
307,MUS81,CEACAM19,mut,shRNA,24104479,COAD,0
308,MUS81,IKZF4,mut,shRNA,24104479,COAD,0
309,MUS81,LDLRAP1,mut,shRNA,24104479,COAD,0
310,MUS81,GRHL3,mut,shRNA,24104479,COAD,0
311,MUS81,PARN,mut,shRNA,24104479,COAD,1
312,MUS81,LYRM5,mut,shRNA,24104479,COAD,0
313,MUS81,CYP2W1,mut,shRNA,24104479,COAD,0
314,MUS81,RAB33A,mut,shRNA,24104479,COAD,0
315,MUS81,GPRC5C,mut,shRNA,24104479,COAD,0
316,MUS81,IFT74,mut,shRNA,24104479,COAD,0
317,MUS81,C1orf105,mut,shRNA,24104479,COAD,0
318,MUS81,CDC42BPA,mut,shRNA,24104479,COAD,0
319,MUS81,HIST1H2BN,mut,shRNA,24104479,COAD,0
320,MUS81,ALMS1,mut,shRNA,24104479,COAD,1
321,MUS81,ANXA7,mut,shRNA,24104479,COAD,0
322,MUS81,ASGR1,mut,shRNA,24104479,COAD,0
323,MUS81,GGA2,mut,shRNA,24104479,COAD,0
324,MUS81,GNAS,mut,shRNA,24104479,COAD,0
325,MUS81,KIAA2026,mut,shRNA,24104479,COAD,1
326,MUS81,LRAT,mut,shRNA,24104479,COAD,0
327,MUS81,TXNDC11,mut,shRNA,24104479,COAD,1
328,MUS81,ZDHHC20,mut,shRNA,24104479,COAD,0
329,MUS81,PGAM2,mut,shRNA,24104479,COAD,0
330,MUS81,PKN1,mut,shRNA,24104479,COAD,0
331,MUS81,TRIM14,mut,shRNA,24104479,COAD,0
332,MUS81,APOC3,mut,shRNA,24104479,COAD,0
333,MUS81,CCRL2,mut,shRNA,24104479,COAD,0
334,MUS81,FBXW2,mut,shRNA,24104479,COAD,0
335,MUS81,HOXC9,mut,shRNA,24104479,COAD,0
336,MUS81,GPER,mut,shRNA,24104479,COAD,0
337,MUS81,AKAP8L,mut,shRNA,24104479,COAD,0
338,MUS81,ZNF157,mut,shRNA,24104479,COAD,0
339,MUS81,SLC35A1,mut,shRNA,24104479,COAD,0
340,MUS81,OGFOD1,mut,shRNA,24104479,COAD,0
341,MUS81,LRIG3,mut,shRNA,24104479,COAD,0
342,MUS81,HRH2,mut,shRNA,24104479,COAD,0
343,MUS81,SNRNP35,mut,shRNA,24104479,COAD,0
344,MUS81,RFTN1,mut,shRNA,24104479,COAD,1
345,MUS81,OR4K17,mut,shRNA,24104479,COAD,0
346,MUS81,NCOA2,mut,shRNA,24104479,COAD,0
347,MUS81,AIRE,mut,shRNA,24104479,COAD,0
348,MUS81,EFCAB4A,mut,shRNA,24104479,COAD,0
349,MUS81,MCEE,mut,shRNA,24104479,COAD,0
350,MUS81,AFG3L1,mut,shRNA,24104479,COAD,0
351,MUS81,VDAC2,mut,shRNA,24104479,COAD,0
352,MUS81,CHKB,mut,shRNA,24104479,COAD,0
353,MUS81,MYL5,mut,shRNA,24104479,COAD,0
354,MUS81,ASB15,mut,shRNA,24104479,COAD,0
355,MUS81,NFYC,mut,shRNA,24104479,COAD,0
356,MUS81,NDUFB4,mut,shRNA,24104479,COAD,0
357,MUS81,ZNF317,mut,shRNA,24104479,COAD,0
358,MUS81,C5orf35,mut,shRNA,24104479,COAD,0
359,MUS81,MARCO,mut,shRNA,24104479,COAD,0
360,MUS81,GRHPR,mut,shRNA,24104479,COAD,0
361,MUS81,ACN9,mut,shRNA,24104479,COAD,0
362,MUS81,ERC1,mut,shRNA,24104479,COAD,0
363,MUS81,DAP3,mut,shRNA,24104479,COAD,1
364,MUS81,CDIPT,mut,shRNA,24104479,COAD,0
365,MUS81,FOXF1,mut,shRNA,24104479,COAD,0
366,MUS81,MCCC1,mut,shRNA,24104479,COAD,0
367,MUS81,MED9,mut,shRNA,24104479,COAD,0
368,MUS81,AMPD3,mut,shRNA,24104479,COAD,0
369,MUS81,STAG3,mut,shRNA,24104479,COAD,0
370,MUS81,SEZ6L2,mut,shRNA,24104479,COAD,1
371,MUS81,ARNTL,mut,shRNA,24104479,COAD,0
372,MUS81,TOX2,mut,shRNA,24104479,COAD,1
373,MUS81,PDE1B,mut,shRNA,24104479,COAD,0
374,MUS81,DCXR,mut,shRNA,24104479,COAD,0
375,MUS81,ZNF165,mut,shRNA,24104479,COAD,0
376,MUS81,AMPD2,mut,shRNA,24104479,COAD,0
377,MUS81,PTCH1,mut,shRNA,24104479,COAD,0
378,MUS81,ZBTB41,mut,shRNA,24104479,COAD,0
379,MUS81,MSH4,mut,shRNA,24104479,COAD,0
380,MUS81,PNPT1,mut,shRNA,24104479,COAD,0
381,MUS81,ZNF136,mut,shRNA,24104479,COAD,0
382,MUS81,KRT36,mut,shRNA,24104479,COAD,0
383,MUS81,CCS,mut,shRNA,24104479,COAD,0
384,MUS81,CREB3L4,mut,shRNA,24104479,COAD,0
385,MUS81,IL2,mut,shRNA,24104479,COAD,0
386,MUS81,TTC12,mut,shRNA,24104479,COAD,0
387,MUS81,RSPRY1,mut,shRNA,24104479,COAD,0
388,MUS81,MYLPF,mut,shRNA,24104479,COAD,0
389,MUS81,LRRC19,mut,shRNA,24104479,COAD,0
390,MUS81,STK16,mut,shRNA,24104479,COAD,0
391,MUS81,HEATR4,mut,shRNA,24104479,COAD,0
392,MUS81,HMGN3,mut,shRNA,24104479,COAD,0
393,MUS81,TCEB2,mut,shRNA,24104479,COAD,0
394,MUS81,MLF1IP,mut,shRNA,24104479,COAD,0
395,MUS81,INPP5B,mut,shRNA,24104479,COAD,0
396,MUS81,GABRA6,mut,shRNA,24104479,COAD,0
397,MUS81,MC4R,mut,shRNA,24104479,COAD,0
398,MUS81,COL3A1,mut,shRNA,24104479,COAD,0
399,MUS81,SOX10,mut,shRNA,24104479,COAD,1
400,MUS81,LMO1,mut,shRNA,24104479,COAD,0
401,MUS81,EPB41,mut,shRNA,24104479,COAD,0
402,MUS81,CCDC65,mut,shRNA,24104479,COAD,0
403,MUS81,GPRC6A,mut,shRNA,24104479,COAD,0
404,MUS81,ZFPM1,mut,shRNA,24104479,COAD,0
405,MUS81,MPP3,mut,shRNA,24104479,COAD,1
406,MUS81,LHX2,mut,shRNA,24104479,COAD,0
407,MUS81,FCRL5,mut,shRNA,24104479,COAD,0
408,MUS81,PINK1,mut,shRNA,24104479,COAD,1
409,MUS81,MSH2,mut,shRNA,24104479,COAD,0
410,MUS81,ZNF256,mut,shRNA,24104479,COAD,0
411,MUS81,ZNF268,mut,shRNA,24104479,COAD,0
412,MUS81,CSK,mut,shRNA,24104479,COAD,0
413,MUS81,SORBS3,mut,shRNA,24104479,COAD,1
414,MUS81,MOGS,mut,shRNA,24104479,COAD,0
415,MUS81,TREX2,mut,shRNA,24104479,COAD,0
416,MUS81,ZNF362,mut,shRNA,24104479,COAD,0
417,MUS81,C14orf106,mut,shRNA,24104479,COAD,0
418,MUS81,PTPRO,mut,shRNA,24104479,COAD,0
419,MUS81,FHOD3,mut,shRNA,24104479,COAD,0
420,MUS81,C11orf82,mut,shRNA,24104479,COAD,0
421,MUS81,HOMEZ,mut,shRNA,24104479,COAD,0
422,MUS81,OR5V1,mut,shRNA,24104479,COAD,0
423,MUS81,TMEM209,mut,shRNA,24104479,COAD,1
424,MUS81,HOXA5,mut,shRNA,24104479,COAD,0
425,MUS81,VDAC1,mut,shRNA,24104479,COAD,0
426,MUS81,AMPH,mut,shRNA,24104479,COAD,0
427,MUS81,PTX3,mut,shRNA,24104479,COAD,0
428,MUS81,SRGN,mut,shRNA,24104479,COAD,0
429,MUS81,MELK,mut,shRNA,24104479,COAD,0
430,MUS81,RRBP1,mut,shRNA,24104479,COAD,0
431,MUS81,TTR,mut,shRNA,24104479,COAD,0
432,MUS81,DNAJC12,mut,shRNA,24104479,COAD,0
433,MUS81,GRIN2A,mut,shRNA,24104479,COAD,0
434,MUS81,THBD,mut,shRNA,24104479,COAD,0
435,MUS81,NUP88,mut,shRNA,24104479,COAD,0
436,MUS81,WIF1,mut,shRNA,24104479,COAD,0
437,MUS81,F13B,mut,shRNA,24104479,COAD,0
438,MUS81,SH3BP5L,mut,shRNA,24104479,COAD,1
439,MUS81,GATAD1,mut,shRNA,24104479,COAD,0
440,MUS81,TRAK1,mut,shRNA,24104479,COAD,0
441,MUS81,PCK2,mut,shRNA,24104479,COAD,0
442,MUS81,4-Mar,mut,shRNA,24104479,COAD,0
443,MUS81,FOXRED2,mut,shRNA,24104479,COAD,1
444,MUS81,COPZ1,mut,shRNA,24104479,COAD,1
445,MUS81,PRR5,mut,shRNA,24104479,COAD,0
446,MUS81,FRY,mut,shRNA,24104479,COAD,0
447,MUS81,GYPE,mut,shRNA,24104479,COAD,0
448,MUS81,RPS6KC1,mut,shRNA,24104479,COAD,0
449,MUS81,ZNF526,mut,shRNA,24104479,COAD,0
